workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-order,4,4681,16,400,613495,118976,19.39,494519,27257,0,4667,0,59,784,91216,1533.7,0.9
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-reuse,1,1170,4,400,613495,40912,6.67,572583,35637,0,1167,0,59,784,91216,1533.7,0.2
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-reuse,1,1170,16,400,613495,40912,6.67,572583,35644,388,1162,0,59,784,91216,1533.7,0.34
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-reuse,2,2340,4,400,613495,62032,10.11,551463,33147,0,2337,0,59,784,91216,1533.7,0.48
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-reuse,2,2340,16,400,613495,61840,10.08,551655,33169,0,2326,0,59,784,91216,1533.7,0.62
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-reuse,4,4681,4,400,613495,104032,16.96,509463,28181,0,4678,0,59,784,91216,1533.7,0.78
w_share0.00_mix-open_u20_s0,0.0,0.80/0.15/0.05,UB-reuse,4,4681,16,400,613495,103840,16.93,509655,28203,0,4667,0,59,784,91216,1533.7,0.92
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B0,1,1170,4,400,601503,0,0.0,601503,37451,0,1167,0,89,0,6208,1503.8,0.62
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B0,1,1170,16,400,601503,0,0.0,601503,37458,388,1161,0,89,0,6208,1503.8,0.76
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B0,2,2340,4,400,601503,0,0.0,601503,36281,0,2337,0,89,0,6336,1503.8,0.91
w_share0.00_mix-restrictive_u20_s0,0.0,0.20/0.40/0.40,B0,2,2340,16,400,601503,0,0.0,601503,36293,0,2327,0,89,0,6336,1503.8,1.05
